datetime,open,high,low,close,volume
2025-01-07 13:30:00,243.14999,243.17999,241.539,242.19,6587306.0
2025-01-08 09:30:00,241.97,243.7123,240.050003,242.35001,16947584.0
2025-01-08 13:30:00,242.35001,242.987,241.044006,242.72,8786878.0
2025-01-10 09:30:00,240.024994,240.14999,233.0,237.11501,32708093.0
2025-01-10 13:30:00,237.12,237.58501,235.75,236.92999,11855612.0
2025-01-13 09:30:00,233.5,233.59,229.72,233.38,25756307.0
2025-01-13 13:30:00,233.38,234.67,233.25999,234.39999,10549315.0
2025-01-14 09:30:00,234.75,236.12,232.64999,234.020203,15971744.0
2025-01-14 13:30:00,234.039993,234.92,232.472,233.28,10920324.0
2025-01-15 09:30:00,234.64,238.53999,234.42999,237.53,17478093.0
2025-01-15 13:30:00,237.52,238.47,237.25999,237.85001,9374725.0
2025-01-16 09:30:00,237.49001,238.0099945,229.070007,229.19,36147574.0
2025-01-16 13:30:00,229.185,230.068604,228.029999,228.24001,21744251.0
2025-01-17 09:30:00,232.11501,232.28999,229.49001,229.91,41622147.0
2025-01-17 13:30:00,229.9102,230.020004,228.48,229.99001,14835447.0
2025-01-21 09:30:00,224.0,224.42,219.38,220.405,48089739.0
2025-01-21 13:30:00,220.40469,222.78,220.31,222.66,14229203.0
2025-01-22 09:30:00,219.94,223.3528,219.8,222.11571,32090771.0
2025-01-22 13:30:00,222.13,223.98,221.91,223.77,14018653.0
2025-01-23 09:30:00,224.73,227.029999,223.19,223.55,31332926.0
2025-01-23 13:30:00,223.56,223.64999,222.3,223.64999,15375781.0
2025-01-24 09:30:00,224.97501,225.63,221.95,222.16,40005671.0
2025-01-24 13:30:00,222.19,223.044998,221.41,222.78999,28607040.0
2025-01-27 09:30:00,224.029999,231.38,224.0,231.32001,47782322.0
2025-01-27 13:30:00,231.3,232.14999,228.48,229.94,27368723.0
2025-01-28 09:30:00,230.85,240.19,230.85,238.71,1610244.0
2025-01-28 13:30:00,238.76,239.48,237.77,238.23,659329.0
2025-01-29 09:30:00,234.14999,238.0,234.0099945,237.42999,24426144.0
2025-01-29 13:30:00,237.45,239.855,236.31,239.35001,12716669.0
2025-01-30 09:30:00,238.66499,240.78999,237.21001,238.45,20930820.0
2025-01-30 13:30:00,238.44,240.050003,237.24001,237.56,14995413.0
2025-01-31 09:30:00,247.039993,247.19,236.22,236.425,51549200.0
2025-01-31 13:30:00,236.42999,236.86,233.44,235.86,23705742.0
2025-02-03 09:30:00,229.44,231.83,225.71001,226.89999,43571641.0
2025-02-03 13:30:00,226.91,229.21001,226.89,227.98,15431449.0
2025-02-04 09:30:00,227.2,232.78999,226.64999,232.22,25306905.0
2025-02-04 13:30:00,232.22569,233.13,231.38,232.78999,9122098.0
2025-02-05 09:30:00,229.39529,231.28,228.3,229.91,18691350.0
2025-02-05 13:30:00,229.89999,232.67,229.71001,232.46001,9360161.0
2025-02-06 09:30:00,231.34,233.8,230.425,232.19,15128263.0
2025-02-06 13:30:00,232.19,233.28,231.895,233.22,7135758.0
2025-02-07 09:30:00,232.515,234.0,228.19501,229.2989,21129931.0
2025-02-07 13:30:00,229.28999,229.5,227.25999,227.71001,10598696.0
2025-02-10 09:30:00,229.57001,230.58501,228.2392,228.47,15054096.0
2025-02-10 13:30:00,228.485,229.035004,227.2,227.64,8204415.0
2025-02-11 09:30:00,228.2,235.23,228.13,233.545,32279482.0
2025-02-11 13:30:00,233.72,234.1899,232.17,232.77,11142858.0
2025-02-12 09:30:00,231.27499,235.89,230.67999,235.48,23177458.0
2025-02-12 13:30:00,235.47321,236.96001,235.32001,236.89,10872767.0
2025-02-13 09:30:00,238.42,241.61,235.57001,241.029999,25770400.0
2025-02-13 13:30:00,241.039993,242.3399,240.53,241.52,11725124.0
2025-02-14 09:30:00,241.070007,245.050003,241.0,243.99989,22958595.0
2025-02-14 13:30:00,243.98,245.41,243.91,244.57001,9289029.0
2025-02-18 09:30:00,243.91,245.17999,242.86011,243.435,19712943.0
2025-02-18 13:30:00,243.42999,244.60001,241.84,244.47,11199105.0
2025-02-19 09:30:00,244.61,246.0099945,243.1604,244.71001,17123308.0
2025-02-19 13:30:00,244.715,245.1899,244.22,244.88,7664962.0
2025-02-20 09:30:00,244.97,246.78,244.28999,245.44501,17712694.0
2025-02-20 13:30:00,245.44,246.0,244.85001,245.86,7283085.0
2025-02-21 09:30:00,245.965,248.69,245.22,247.44119,25213398.0
2025-02-21 13:30:00,247.4451,248.076706,245.33,245.59,18412021.0
2025-02-24 09:30:00,244.808,248.86,244.59,248.050003,26201499.0
2025-02-24 13:30:00,248.050003,248.8,246.82001,247.23,12998713.0
2025-02-25 09:30:00,248.0,249.98,244.91,247.98,27372384.0
2025-02-25 13:30:00,247.97,248.62,246.044998,247.050003,10935901.0
2025-02-26 09:30:00,244.33,244.98,240.24001,240.3403,24038903.0
2025-02-26 13:30:00,240.34,240.71001,239.13,240.31,11323580.0
2025-02-27 09:30:00,239.345,242.46001,238.47,241.89999,19783048.0
2025-02-27 13:30:00,241.92999,242.050003,237.10001,237.38,12770085.0
2025-02-28 09:30:00,236.95,237.89999,234.50999,237.41,19827769.0
2025-02-28 13:30:00,237.405,242.089996,237.0099945,241.84,15336837.0
2025-03-03 09:30:00,241.722,244.027206,239.825,240.965,19718985.0
2025-03-03 13:30:00,241.020004,242.0,236.112,238.14,15334309.0
2025-03-04 09:30:00,237.705,240.070007,236.16,236.75,27909949.0
2025-03-04 13:30:00,236.75,239.24989,234.7,236.070007,14108727.0
2025-03-05 09:30:00,235.495,235.95,229.23,234.67999,25872381.0
2025-03-05 13:30:00,234.6653,236.55,234.10001,235.77,9804833.0
2025-03-06 09:30:00,234.435,237.86,233.53999,234.295,21198662.0
2025-03-06 13:30:00,234.30499,236.0099945,233.33,235.32001,14061357.0
2025-03-07 09:30:00,235.105,241.37,234.835,240.4144,27540901.0
2025-03-07 13:30:00,240.425,240.91,237.94,239.070007,12186293.0
2025-03-10 09:30:00,235.48,236.16,224.22,225.21001,39259383.0
2025-03-10 13:30:00,225.24001,228.64999,224.4209,227.541,20528171.0
2025-03-11 09:30:00,223.8,225.8399,217.45,217.755,41202666.0
2025-03-11 13:30:00,217.73,223.28,217.67999,220.73,20089047.0
2025-03-12 09:30:00,220.17999,221.75,214.91,218.1898,34828084.0
2025-03-12 13:30:00,218.13,218.22,215.050003,216.94,18704890.0
2025-03-13 09:30:00,215.94,216.8394,210.69,211.155,31789129.0
2025-03-13 13:30:00,211.14,212.47,208.42,209.71001,20440435.0
2025-03-14 09:30:00,211.25,213.94,209.58,212.315,31237027.0
2025-03-14 13:30:00,212.3026,213.89999,210.75999,213.38,17013798.0
2025-03-17 09:30:00,213.36,214.97,209.98,212.33031,23001055.0
2025-03-17 13:30:00,212.355,215.22,212.28,214.19,14681094.0
2025-03-18 09:30:00,214.14,215.14999,211.49001,212.2834,22393383.0
2025-03-18 13:30:00,212.3,213.25999,211.5598,212.78999,10837750.0
2025-03-19 09:30:00,214.22,218.75999,213.9101,214.38,22591191.0
2025-03-19 13:30:00,214.392,217.059006,213.75,215.3,16138018.0
2025-03-20 09:30:00,213.99001,217.4899,212.89999,213.23,21678170.0
2025-03-20 13:30:00,213.25999,214.75999,212.22,214.14999,13064111.0
2025-03-21 09:30:00,211.515,215.48,211.47,214.62,36302328.0
2025-03-21 13:30:00,214.61,218.84,214.2601,218.36,17429278.0
2025-03-24 09:30:00,221.0,221.020996,218.58,219.28999,20335065.0
2025-03-24 13:30:00,219.32001,221.0099945,219.089996,220.42999,12671305.0
2025-03-25 09:30:00,220.77,223.895,220.085,222.83,1006434.0
2025-03-25 13:30:00,222.835,224.1,222.615,223.76,549852.0
2025-03-26 09:30:00,223.50999,225.020004,221.63,222.080002,17551486.0
2025-03-26 13:30:00,222.080002,222.22,220.47,221.39999,9414280.0
2025-03-27 09:30:00,221.33,223.98,220.5601,223.105,15669359.0
2025-03-27 13:30:00,223.080002,224.99001,223.050003,223.92999,12389950.0
2025-03-28 09:30:00,221.649,223.8,218.21001,218.49001,19853817.0
2025-03-28 13:30:00,218.5,219.1665,217.67999,217.88,10814773.0
2025-03-31 09:30:00,217.22,221.020004,216.24001,219.87,25300707.0
2025-03-31 13:30:00,219.85001,224.97,219.2417,221.995,18424727.0
2025-04-01 09:30:00,219.80499,223.42999,218.89999,222.3385,18869329.0
2025-04-01 13:30:00,222.3,223.49001,221.14999,223.14,8937909.0
2025-04-02 09:30:00,221.19,225.19,221.050003,224.72,15999713.0
2025-04-02 13:30:00,224.72,224.81,222.8614,223.78999,9153844.0
2025-04-03 09:30:00,205.52,207.4899,202.52,204.0050049,58540592.0
2025-04-03 13:30:00,203.99001,204.6051,201.25,203.059998,30285189.0
2025-04-04 09:30:00,196.17,199.88,190.89999,190.99001,69447800.0
2025-04-04 13:30:00,190.98,192.57001,187.345,188.38,40324524.0
2025-04-07 09:30:00,177.24001,194.14,174.62,181.53999,106133766.0
2025-04-07 13:30:00,181.55499,183.89,178.28011,181.59,36204269.0
2025-04-08 09:30:00,186.73,190.33501,175.0,175.029999,60697282.0
2025-04-08 13:30:00,175.020004,178.60989,169.2101,172.77,42760432.0
2025-04-09 09:30:00,172.179,194.49001,171.89,188.52499,79043153.0
2025-04-09 13:30:00,188.50999,200.61,183.87,198.85001,78573351.0
